308.857, 129.491, 4.293,  4.379 False
308.713, 129.491, 4.324,  4.412 False
308.568, 129.491, 4.356,  4.445 False
308.422, 129.491, 4.387,  4.478 False
308.275, 129.492, 4.419,  4.511 False
308.127, 129.492, 4.450,  4.544 False
307.978, 129.492, 4.481,  4.577 False
307.828, 129.492, 4.512,  4.610 False
307.677, 129.492, 4.542,  4.643 False
307.525, 129.492, 4.573,  4.676 False
307.371, 129.492, 4.604,  4.709 False
307.217, 129.492, 4.635,  4.742 False
307.062, 129.492, 4.666,  4.775 False
306.906, 129.492, 4.696,  4.808 False
306.748, 129.493, 4.727,  4.841 False
306.590, 129.493, 4.757,  4.874 False
306.431, 129.493, 4.788,  4.907 False
306.270, 129.493, 4.819,  4.940 False
306.109, 129.493, 4.849,  4.973 False
305.947, 129.493, 4.880,  5.006 False
305.783, 129.493, 4.911,  5.039 False
305.619, 129.493, 4.942,  5.072 False
305.453, 129.493, 4.972,  5.105 False
305.287, 129.493, 5.003,  5.138 False
305.119, 129.494, 5.034,  5.171 False
304.951, 129.494, 5.065,  5.204 False
304.781, 129.494, 5.095,  5.237 False
304.610, 129.494, 5.125,  5.270 False
304.439, 129.494, 5.155,  5.303 False
304.266, 129.494, 5.185,  5.336 False
304.093, 129.494, 5.212,  5.369 False
303.918, 129.494, 5.232,  5.402 False
303.744, 129.494, 5.236,  5.435 False
303.570, 129.499, 5.229,  5.468 False
303.396, 129.506, 5.232,  5.501 False
303.221, 129.513, 5.248,  5.534 False
303.046, 129.522, 5.270,  5.567 False
302.870, 129.532, 5.301,  5.600 False
302.692, 129.543, 5.335,  5.633 False
302.514, 129.554, 5.376,  5.666 False
302.334, 129.565, 5.417,  5.699 False
302.152, 129.577, 5.457,  5.732 False
301.969, 129.589, 5.498,  5.765 False
301.786, 129.603, 5.538,  5.798 False
301.600, 129.617, 5.578,  5.831 False
301.414, 129.632, 5.616,  5.864 False
301.226, 129.648, 5.655,  5.897 False
301.038, 129.667, 5.689,  5.930 False
300.848, 129.687, 5.727,  5.963 False
300.657, 129.707, 5.768,  5.996 False
300.465, 129.727, 5.805,  6.029 False
300.271, 129.748, 5.842,  6.062 False
300.077, 129.768, 5.877,  6.095 False
299.881, 129.789, 5.911,  6.128 False
299.684, 129.811, 5.945,  6.161 False
299.486, 129.834, 5.979,  6.194 False
299.288, 129.857, 6.012,  6.227 False
299.088, 129.881, 6.046,  6.260 False
298.887, 129.906, 6.079,  6.293 False
298.685, 129.932, 6.113,  6.326 False
298.482, 129.958, 6.146,  6.359 False
298.278, 129.984, 6.179,  6.392 False
298.073, 130.012, 6.211,  6.425 False
297.867, 130.041, 6.244,  6.458 False
297.660, 130.071, 6.276,  6.491 False
297.452, 130.100, 6.309,  6.524 False
297.243, 130.129, 6.341,  6.557 False
297.033, 130.159, 6.373,  6.590 False
296.822, 130.189, 6.405,  6.623 False
296.610, 130.220, 6.437,  6.656 False
296.396, 130.251, 6.468,  6.689 False
296.182, 130.284, 6.500,  6.722 False
295.967, 130.316, 6.532,  6.755 False
295.751, 130.350, 6.564,  6.788 False
295.534, 130.383, 6.594,  6.821 False
295.316, 130.418, 6.626,  6.854 False
295.098, 130.453, 6.656,  6.887 False
294.878, 130.489, 6.687,  6.920 False
294.657, 130.525, 6.717,  6.953 False
294.435, 130.562, 6.747,  6.986 False
294.213, 130.600, 6.776,  7.019 False
293.989, 130.637, 6.806,  7.052 False
293.765, 130.675, 6.835,  7.085 False
293.539, 130.713, 6.865,  7.118 False
293.313, 130.751, 6.894,  7.151 False
293.086, 130.790, 6.924,  7.184 False
292.857, 130.829, 6.953,  7.217 False
292.628, 130.869, 6.983,  7.250 False
292.398, 130.909, 7.012,  7.283 False
292.167, 130.949, 7.043,  7.316 False
291.935, 130.990, 7.072,  7.349 False
291.702, 131.030, 7.102,  7.382 False
291.468, 131.072, 7.131,  7.415 False
291.233, 131.113, 7.161,  7.448 False
290.997, 131.154, 7.189,  7.481 False
290.761, 131.196, 7.220,  7.514 False
290.523, 131.237, 7.249,  7.547 False
290.284, 131.279, 7.279,  7.580 False
290.044, 131.321, 7.308,  7.613 False
289.804, 131.364, 7.338,  7.646 False
289.562, 131.406, 7.367,  7.679 False
289.319, 131.449, 7.397,  7.712 False
289.076, 131.492, 7.425,  7.745 False
288.831, 131.535, 7.455,  7.778 False
288.586, 131.579, 7.483,  7.811 False
288.340, 131.622, 7.513,  7.844 False
288.092, 131.666, 7.541,  7.877 False
287.844, 131.710, 7.571,  7.910 False
287.595, 131.754, 7.599,  7.943 False
287.345, 131.798, 7.628,  7.976 False
287.093, 131.842, 7.657,  8.009 False
286.841, 131.886, 7.686,  8.042 False
286.588, 131.931, 7.715,  8.075 False
286.334, 131.975, 7.744,  8.108 False
286.079, 132.020, 7.773,  8.141 False
285.823, 132.064, 7.802,  8.174 False
285.566, 132.109, 7.830,  8.207 False
285.308, 132.154, 7.860,  8.240 False
285.050, 132.198, 7.888,  8.273 False
284.789, 132.240, 7.913,  8.306 False
